StudyID,ManuscriptReference,TaskStratum,BibliographicReference,PublicReleaseNote
P17,27,Interactive/video reconstruction,"Chen Y, Liu M, Shen Y, et al. IWR-Bench: Can LVLMs Reconstruct Interactive Webpage from a User Interaction Video? In: ICLR 2026. 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P70,28,Dynamic/temporal recreation,"Ji A, Mudunuri AV, Chan DM, Suhr A. Animation2Code: Evaluating Temporal Visual Reasoning in Video-to-Code Generation. arXiv:2606.28593, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P71,29,Dynamic/video-conditioned recreation,"Dai Y, Lai Y, Huang M, et al. WebVR: Benchmarking Multimodal LLMs for WebPage Recreation from Videos via Human-Aligned Visual Rubrics. arXiv:2603.13391, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P16,30,Engineering-focused generation,"Gui Y, Zhang J, Wang Y, et al. Figma2Code: Automating Multimodal Design to Code in the Wild. In: ICLR 2026. 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P26,31,Repair/diagnostic,"Yuan M, Chen J, Xing Z, et al. DesignRepair: Dual-Stream Design Guideline-Aware Frontend Repair with Large Language Models. In: ICSE 2025. 2025. doi:10.1109/ICSE55347.2025.00109.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P65,32,Accessibility repair/case study,"Ahmed A, Fresco M, Forsberg F, Grotli H. From Code to Compliance: Assessing ChatGPT’s Utility in Designing an Accessible Webpage—A Case Study. arXiv:2501.03572, 2025.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P23,33,Deployment/compatibility,"Guo Z, Xiao J, Sun Y, Huo Y. Does It Render Everywhere? A Study of Cross-Environment Compatibility in MLLM-Generated Webpages. arXiv:2608.12518, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P41,34,Mixed UI understanding/generation,"Yang H, Qiu W, Zhang R, et al. UI-UG: A Unified MLLM for UI Understanding and Generation. arXiv:2509.24361, 2025.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P12,35,Multi-page/resource-aware generation,"Wan Y, Dong Y, Xiao J, Huo Y, Wang W, Lyu MR. MRWeb: An Exploration of Generating Multi-Page Resource-Aware Web Code from UI Designs. arXiv:2412.15310, 2024.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P08,36,Static reconstruction benchmark,"Lin Z, Zhou Z, Zhao Z, Wan T, Ma Y, Gao J, Li X. WebUIBench: A Comprehensive Benchmark for Evaluating Multimodal Large Language Models in WebUI-to-Code. In: Findings of ACL 2025. 2025:15780–15797. doi:10.18653/v1/2025.findings-acl.815.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P32,37,Interactive/agent verification,"He Z, Hong W, Yang Z, Pan Z, Liu M, Gu X, Tang J. Vision2Web: A Hierarchical Benchmark for Visual Website Development with Agent Verification. arXiv:2603.26648, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P52,38,Interactive webpage generation,"Wu F, Dong L, Gao C, Chen Y, Huang Y, Xiao Y, Liao Q. Benchmarking Multimodal LLMs on Code Generation for Complex Interactive Webpages. arXiv:2606.00154, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P57,39,Interactive web development,"Guo Y, Chen H, Ye Z, Wang G, Yu C, Chen Z. Rendering-in-the-Loop: An Execution-Driven Agent for Interactive Web Development. arXiv:2609.02088, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P67,40,Static reconstruction,"Jiang Y, Zheng Y, Wan Y, Han J, Wang Q, Lyu MR, Yue X. ScreenCoder: Advancing Visual-to-Code Generation for Front-End Automation via Modular Multimodal Agents. arXiv:2507.22827, 2025.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P19,41,Interactive visual optimization,"Yang Z, Hong W, Xu M, Fan X, Wang W, Cheng J, Gu X, Tang J. UI2Code^N: UI-to-Code Generation as Interactive Visual Optimization. In: Proceedings of the 43rd International Conference on Machine Learning (ICML 2026). 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P49,42,Iterative refinement,"Deng J, Yao K, Zhang L. VisRefiner: Learning from Visual Differences for Screenshot-to-Code Generation. arXiv:2602.05998, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P31,43,Prototype-to-code,"Xiao S, Chen Y, Li J, Chen L, Sun L, Zhou T. Prototype2Code: End-to-End Front-End Code Generation From UI Design Prototypes. In: ASME 2024 International Design Engineering Technical Conferences and Computers and Information in Engineering Conference. 2024. doi:10.1115/DETC2024-143139.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P25,44,Efficiency-focused generation,"Xiao J, Zhang Z, Wan Y, Huo Y, Liu Y, Lyu MR. EfficientUICoder: Efficient MLLM-based UI Code Generation via Input and Output Token Compression. Proceedings of the ACM on Software Engineering. 2026;3(FSE):2396–2418. doi:10.1145/3808114.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P33,45,Efficiency-focused generation,"Dai D, Li S, Chen R, Wang H, Wu B, Lan Q. UIPress: Bringing Optical Token Compression to UI-to-Code Generation. arXiv:2604.09442, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P24,46,Evaluation toolkit,"Le CT, Ong TYS, Xiao J, Wan Y, Huo Y. UIBenchKit: A Unified Toolkit for Design-to-Code Model Evaluation. In: ASE 2026 Tools and Datasets. 2026. doi:10.1145/3832783.3834612.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P07,47,Sketch-based interactive prototyping,"Li R, Zhang Y, Yang D. Sketch2Code: Evaluating Vision-Language Models for Interactive Web Design Prototyping. In: NAACL 2025. 2025:3921–3955. doi:10.18653/v1/2025.naacl-long.198.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P69,48,Boundary/reward-design,"Zheng Y, Jiang Y, Zhang M, Wan Y, Feng K, Peng T, Zhang B, Yue X. UniCoder: Unified Visual-to-Code Generation via Symbolic Rewards and Reference-Guided Code Optimization. arXiv:2606.31732, 2026.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
P20,49,Static reconstruction / reward,"Feng J, Yang J, Zhang W, et al. FrontCoder: Scaling Visual Fidelity in Front-End Code Generation. In: Findings of ACL 2026. 2026:4485–4505. doi:10.18653/v1/2026.findings-acl.220.",Included because it contributes primary or boundary evidence used in the manuscript; see manuscript for claim-specific scope.
