"StudyID","ManuscriptReference","TaskStratum","BibliographicReference","PublicReleaseNote","PublicationView","SourceStatus","PermittedScope"
"P15","28","Generation/edit/repair benchmark","Xiao J, Wang M, Lam MH, Wan Y, Liu J, Huo Y, Lyu MR. DesignBench: A Comprehensive Benchmark for MLLM-based Front-end Code Generation. arXiv:2506.06251, 2025.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","arXiv:2506.06251v3 §5.4: judge accuracy distinct from human reliability"
"P21","16","Boundary comparator: text-to-code with internal rendered feedback","Li Y, Zhang C, Lv R, Liu A, Deng K, Zhang Y, Liu J, Zhou B. ReLook: Vision-Grounded RL with a Multimodal LLM Critic for Agentic Web Coding. In: ACL 2026. 2026:25471–25485. doi:10.18653/v1/2026.acl-long.1167.","Working v14 summary; retain only PermittedScope. No new human signoff.","retain_boundary_only","retain_boundary_only","ACL 2026 §§2.1, 2.5–2.7, 3.1 and Appendix A: text-to-code with internal rendered feedback; boundary-only reward/evaluator comparator; no separable external-visual-target subset established"
"P17","29","Interactive/video reconstruction","Chen Y, Liu M, Shen Y, et al. IWR-Bench: Can LVLMs Reconstruct Interactive Webpage from a User Interaction Video? In: ICLR 2026. 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","retain_scoped","retain_targeted_claims","ICLR 2026 §§4.1–4.2, §5.4, Appendix C p17: interactive external-video task; success-conditioned visual score; human sample used for weight calibration, not demonstrated held-out validation"
"P70","30","Dynamic/temporal recreation","Ji A, Mudunuri AV, Chan DM, Suhr A. Animation2Code: Evaluating Temporal Visual Reasoning in Video-to-Code Generation. arXiv:2606.28593, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","Late-study records LATE-P70-01–08, supplied v1; selection/split caveats"
"P71","31","Dynamic/video-conditioned recreation","Dai Y, Lai Y, Huang M, et al. WebVR: Benchmarking Multimodal LLMs for WebPage Recreation from Videos via Human-Aligned Visual Rubrics. arXiv:2603.13391, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","Late-study records LATE-P71-01–04, arXiv v1; selection/evaluation/human/stability roles"
"P16","32","Engineering-focused generation","Gui Y, Zhang J, Wang Y, et al. Figma2Code: Automating Multimodal Design to Code in the Wild. In: ICLR 2026. 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","retain_scoped","retain_targeted_claims","§§2, 4.1; appendix evaluation: Figma JSON, assets and design images constrain generation; the inspected evaluation uses Tailwind HTML. Relative CSS units and absolute/fixed positioning are responsiveness proxies. Semantic-tag and arbitrary-value proportions are code proxies, not measured maintenance effort, viewport adaptation or accessibility conformance."
"P26","17","Supplied-fault-state repair only; excluded from screenshot reconstruction","Yuan M, Chen J, Xing Z, et al. DesignRepair: Dual-Stream Design Guideline-Aware Frontend Repair with Large Language Models. In: ICSE 2025. 2025. doi:10.1109/ICSE55347.2025.00109. Claim-source version inspected: [arXiv:2411.01606v1](https://arxiv.org/abs/2411.01606v1); equivalence to the venue report is not assumed.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","§III; §IV A–C: Retain only in the supplied-fault-state repair stratum: existing frontend code and its rendered state, with design-guideline constraints, define the repair task. This is not external-target screenshot reconstruction. Baseline comparisons use hard-constraint subsets of the annotated violations. Guideline detection/repair outcomes do not establish universal accessibility conformance."
"P65","33","Accessibility repair/case study","Ahmed A, Fresco M, Forsberg F, Grotli H. From Code to Compliance: Assessing ChatGPT’s Utility in Designing an Accessible Webpage—A Case Study. arXiv:2501.03572, 2025.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_archived_extraction","Source Extraction P65 rows: bounded accessibility-repair outcomes, not universal conformance"
"P23","34","Deployment/compatibility","Guo Z, Xiao J, Sun Y, Huo Y. Does It Render Everywhere? A Study of Cross-Environment Compatibility in MLLM-Generated Webpages. arXiv:2608.12518, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_human_scoped_claim","H08 conditional compatibility denominator only"
"P41","35","Mixed UI understanding/generation","Yang H, Qiu W, Zhang R, et al. UI-UG: A Unified MLLM for UI Understanding and Generation. arXiv:2509.24361, 2025.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_human_scoped_claim","H04 appearance-prompt interpretation only"
"P12","36","Multi-page/resource-aware generation","Wan Y, Dong Y, Xiao J, Huo Y, Wang W, Lyu MR. MRWeb: An Exploration of Generating Multi-Page Resource-Aware Web Code from UI Designs. arXiv:2412.15310, 2024.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","arXiv:2412.15310v1 §6.1/Table 2: shared 600-pair criterion study"
"P08","37","Static reconstruction benchmark","Lin Z, Zhou Z, Zhao Z, Wan T, Ma Y, Gao J, Li X. WebUIBench: A Comprehensive Benchmark for Evaluating Multimodal Large Language Models in WebUI-to-Code. In: Findings of ACL 2025. 2025:15780–15797. doi:10.18653/v1/2025.findings-acl.815.","Working v14 summary; retain only PermittedScope. No new human signoff.","retain_scoped","retain_archived_extraction","Published Table 2 and §4.2; ranking evidence and aggregate discrepancy; remaining extraction from archived preprint"
"P32","38","Interactive/agent verification","He Z, Hong W, Yang Z, Pan Z, Liu M, Gu X, Tang J. Vision2Web: A Hierarchical Benchmark for Visual Website Development with Agent Verification. arXiv:2603.26648, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","§§2.1, 3.2, 4.1, 4.4; Appendix A2.2: External prototypes constrain static and interactive tasks. Functional validation reports 218/250 correct node judgments sampled within approximately 100 workflows across 64 tasks: nodes are clustered. Visual-judge agreement is a separate prototype-ranking exercise. Deployment permits retries; precise contributions of missing/unreached nodes remain unresolved. Planned evaluator updates make version pinning necessary."
"P52","39","Interactive webpage generation","Wu F, Dong L, Gao C, Chen Y, Huang Y, Xiao Y, Liao Q. Benchmarking Multimodal LLMs on Code Generation for Complex Interactive Webpages. arXiv:2606.00154, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","§3.1; Appendices A1, B5–B7; Table 8, PDF pp12–18: State images and optional actions define generation. Table 8 valid-evaluation counts vary from 92 to 103 across configurations. Match scoring is conditional on matched steps; Full scoring carries the last available screenshot forward. Zero-match/no-screenshot handling remains unresolved. Main-text matcher validation and appendix sequence-extraction annotation describe different units and must not be conflated. Cross-LLM matching agreement is stability evidence, not another human criterion."
"P57","40","Interactive web development","Guo Y, Chen H, Ye Z, Wang G, Yu C, Chen Z. Rendering-in-the-Loop: An Execution-Driven Agent for Interactive Web Development. arXiv:2609.02088, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","Method; benchmark evaluation; Table 4, PDF p7: Reference video constrains generation. The composite used for best-so-far selection is distinct from final inherited benchmark metrics. Table 4 reports interaction rate over 375 tasks and similarity over 301 jointly triggered tasks; the denominators must remain separate. Reuse of IWR-Bench and Interaction2Code does not provide new independent validation of those instruments."
"P67","41","Static reconstruction","Jiang Y, Zheng Y, Wan Y, Han J, Wang Q, Lyu MR, Yue X. ScreenCoder: Advancing Visual-to-Code Generation for Front-End Automation via Modular Multimodal Agents. arXiv:2507.22827, 2025.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","Late-study records LATE-P67-01–11, arXiv v2; roles and workflow outcomes"
"P19","42","Interactive visual optimization","Yang Z, Hong W, Xu M, Fan X, Wang W, Cheng J, Gu X, Tang J. UI2Code^N: UI-to-Code Generation as Interactive Visual Optimization. In: Proceedings of the 43rd International Conference on Machine Learning (ICML 2026). 2026. Claim-source version inspected: [arXiv:2511.08195v1](https://arxiv.org/abs/2511.08195v1); equivalence to the venue report is not assumed.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","§3.1; Appendix A3.1: Reference images constrain drafting, polishing and editing. Reported accuracy is the share reaching a visual-judge threshold, not functional accuracy. Reward/selection and final judging have distinct roles. Claims are restricted to this version rather than silently transferred to the later renamed report."
"P49","43","Iterative refinement","Deng J, Yao K, Zhang L. VisRefiner: Learning from Visual Differences for Screenshot-to-Code Generation. arXiv:2602.05998, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","Reward definition; §6.2; reward/evaluation appendix: External reference screenshots constrain refinement. Training CLIP reward and the masked layout evaluation variant are distinct implementations. The appendix minimum-improvement threshold differs from the main text's strict-positive condition. Human refined-versus-initial preference supports method improvement on the tested comparisons, not independent validation of every accompanying metric."
"P31","44","Prototype-to-code","Xiao S, Chen Y, Li J, Chen L, Sun L, Zhou T. Prototype2Code: End-to-End Front-End Code Generation From UI Design Prototypes. In: ASME 2024 International Design Engineering Technical Conferences and Computers and Information in Engineering Conference. 2024. doi:10.1115/DETC2024-143139. Claim-source version inspected: [arXiv:2405.04975v1](https://arxiv.org/abs/2405.04975v1); equivalence to the venue report is not assumed.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","§§4.3–4.4: Prototype-constrained generation uses visual scores and a small developer assessment. Five frontend engineers each review ten pages. Availability is based on the proportion of code not changed to satisfy basic requirements, then mapped to a scale; it is not runtime uptime. Ratings and bounded edits are not longitudinal maintainability evidence."
"P25","45","Efficiency-focused generation","Xiao J, Zhang Z, Wan Y, Huo Y, Liu Y, Lyu MR. EfficientUICoder: Efficient MLLM-based UI Code Generation via Input and Output Token Compression. Proceedings of the ACM on Software Engineering. 2026;3(FSE):2396–2418. doi:10.1145/3808114. Claim-source version inspected: [arXiv:2509.12159v1](https://arxiv.org/abs/2509.12159v1); equivalence to the venue report is not assumed.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","§§2.1, 5.2–5.3: Screenshot-to-code evaluation combines visual/reference measures with efficiency outcomes. Compression is the retained-token ratio. FLOPs cover the LLM backbone and exclude the visual encoder; timing depends on the stated hardware. Quality preservation is restricted to the tested measures, not demonstrated functional equivalence. WebCode2M sampling wording is not used to infer an additional exact denominator."
"P33","46","Efficiency-focused generation","Dai D, Li S, Chen R, Wang H, Wu B, Lan Q. UIPress: Bringing Optical Token Compression to UI-to-Code Generation. arXiv:2604.09442, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","§§4.2–4.5; Table 1, PDF p6: Table 1 reports the 50-page validation split and a checkpoint selected by validation CLIP, not the 435 pages described as reserved for final evaluation. Its stated 485-page dataset also differs from the usual 484-page Design2Code count; do not silently reconcile this. CLIP and bootstrap uncertainty are not new human-criterion validation. Latency and memory are hardware- and procedure-specific."
"P24","47","Evaluation toolkit","Le CT, Ong TYS, Xiao J, Wan Y, Huo Y. UIBenchKit: A Unified Toolkit for Design-to-Code Model Evaluation. In: ASE 2026 Tools and Datasets. 2026. doi:10.1145/3832783.3834612. Claim-source version inspected: [arXiv:2605.13141v1](https://arxiv.org/abs/2605.13141v1); equivalence to the venue report is not assumed.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","arXiv:2605.13141v1 §§2, 4–5: screenshot-to-code orchestration and inherited metrics; no new human calibration described; equivalence to cited ASE publication not verified"
"P07","48","Sketch-based interactive prototyping","Li R, Zhang Y, Yang D. Sketch2Code: Evaluating Vision-Language Models for Interactive Web Design Prototyping. In: NAACL 2025. 2025:3921–3955. doi:10.18653/v1/2025.naacl-long.198.","Working v14 summary; retain only PermittedScope. No new human signoff.","retain_scoped","retain_targeted_claims","§§3.2, 4.5, 5; Appendix D: Externally supplied sketches define the reconstruction task. Expert interviews address workflow preferences and expected utility; simulated-user feedback checks address feedback quality. Neither establishes observed productivity gains or item-level validity of the visual metric. Derived webpage ancestry links this study to Design2Code."
"P69","49","Boundary/reward-design","Zheng Y, Jiang Y, Zhang M, Wan Y, Feng K, Peng T, Zhang B, Yue X. UniCoder: Unified Visual-to-Code Generation via Symbolic Rewards and Reference-Guided Code Optimization. arXiv:2606.31732, 2026.","Working v14 summary; retain only PermittedScope. No new human signoff.","segregate_inspected_preprint","retain_targeted_claims","Late-study records LATE-P69-01–09, arXiv v1; webpage subset only"
"P20","15","Boundary comparator: text-to-code with internal rendered feedback","Feng J, Yang J, Zhang W, et al. FrontCoder: Scaling Visual Fidelity in Front-End Code Generation. In: Findings of ACL 2026. 2026:4485–4505. doi:10.18653/v1/2026.findings-acl.220.","Working v14 summary; retain only PermittedScope. No new human signoff.","retain_boundary_only","retain_boundary_only","§§2, 3.1.1–3.1.3; Limitations: Inspected text-to-code tasks use internally rendered screenshots for criticism; a separable externally supplied visual-target subset is not established. Retain only as a boundary comparator. The reported judge-to-judge association is distinct from human-criterion validity; ArtifactsBench alignment is inherited. The limitations exclude interaction/dynamic-responsiveness assessment."
